date,scubaSnorkel,transect,distance_ft,depth_MLLW,distance_m
2021-07-08,scuba,33,200,25,NA
2021-07-08,scuba,33,195,23.2,NA
2021-07-08,scuba,33,185,20,NA
2021-07-08,scuba,33,175,18.099999999999998,NA
2021-07-08,scuba,33,165,16.799999999999997,NA
2021-07-08,scuba,33,155,15.8,NA
2021-07-08,scuba,33,145,15.1,NA
2021-07-08,scuba,33,135,14.4,NA
2021-07-08,scuba,33,125,13.700000000000001,NA
2021-07-08,scuba,33,115,12.8,NA
2021-07-08,scuba,33,105,12.5,NA
2021-07-08,scuba,33,95,12.1,NA
2021-07-08,scuba,33,85,11.4,NA
2021-07-08,scuba,33,75,11,NA
2021-07-08,scuba,33,65,10.4,NA
2021-07-08,scuba,33,55,9.3,NA
2021-07-08,scuba,33,45,8.2,NA
2021-07-08,scuba,33,35,6.800000000000001,NA
2021-07-08,scuba,33,25,5.1000000000000005,NA
2021-07-08,scuba,33,15,3.6,NA
2021-07-08,scuba,33,5,1.7000000000000002,NA
2021-07-09,scuba,3,155,18.95,NA
2021-07-09,scuba,3,145,18.65,NA
2021-07-09,scuba,3,135,18.15,NA
2021-07-09,scuba,3,125,17.65,NA
2021-07-09,scuba,3,115,17.15,NA
2021-07-09,scuba,3,105,16.45,NA
2021-07-09,scuba,3,95,15.85,NA
2021-07-09,scuba,3,85,15.149999999999999,NA
2021-07-09,scuba,3,75,14.25,NA
2021-07-09,scuba,3,65,11.649999999999999,NA
2021-07-09,scuba,3,55,9.35,NA
2021-07-09,scuba,3,45,7.75,NA
2021-07-09,scuba,3,35,5.8500000000000005,NA
2021-07-09,scuba,3,25,4.75,NA
2021-07-09,scuba,3,15,3.1500000000000004,NA
2021-07-09,scuba,3,5,1.95,NA
2021-07-09,scuba,27,305,13.649999999999999,NA
2021-07-09,scuba,27,295,13.45,NA
2021-07-09,scuba,27,285,13.35,NA
2021-07-09,scuba,27,275,13.149999999999999,NA
2021-07-09,scuba,27,265,13.049999999999999,NA
2021-07-09,scuba,27,255,12.85,NA
2021-07-09,scuba,27,245,12.649999999999999,NA
2021-07-09,scuba,27,235,12.549999999999999,NA
2021-07-09,scuba,27,225,12.45,NA
2021-07-09,scuba,27,215,12.25,NA
2021-07-09,scuba,27,205,12.149999999999999,NA
2021-07-09,scuba,27,195,12.049999999999999,NA
2021-07-09,scuba,27,185,11.75,NA
2021-07-09,scuba,27,175,11.549999999999999,NA
2021-07-09,scuba,27,165,11.549999999999999,NA
2021-07-09,scuba,27,155,11.45,NA
2021-07-09,scuba,27,145,11.25,NA
2021-07-09,scuba,27,135,11.049999999999999,NA
2021-07-09,scuba,27,125,10.75,NA
2021-07-09,scuba,27,115,10.35,NA
2021-07-09,scuba,27,105,8.95,NA
2021-07-09,scuba,27,95,8.95,NA
2021-07-09,scuba,27,85,8.25,NA
2021-07-09,scuba,27,75,6.95,NA
2021-07-09,scuba,27,65,6.15,NA
2021-07-09,scuba,27,55,5.05,NA
2021-07-09,scuba,27,45,3.45,NA
2021-07-09,scuba,27,35,2.95,NA
2021-07-06,snorkel,1,NA,0,5
2021-07-06,snorkel,1,NA,0,15
2021-07-06,snorkel,1,NA,0,25
2021-07-06,snorkel,1,NA,0,35
2021-07-06,snorkel,1,NA,0,45
2021-07-06,snorkel,1,NA,0,55
2021-07-06,snorkel,1,NA,0,65
2021-07-06,snorkel,1,NA,0,75
2021-07-06,snorkel,1,NA,0,85
2021-07-06,snorkel,1,NA,0,95
2021-07-06,snorkel,1,NA,0,105
2021-07-06,snorkel,1,NA,0,115
2021-07-06,snorkel,1,NA,0,125
2021-07-06,snorkel,1,NA,0,135
2021-07-06,snorkel,1,NA,0,145
2021-07-06,snorkel,1,NA,0,155
2021-07-06,snorkel,1,NA,0,165
2021-07-06,snorkel,1,NA,0,175
2021-07-06,snorkel,2,NA,0,185
2021-07-06,snorkel,2,NA,0,195
2021-07-06,snorkel,2,NA,0,205
2021-07-06,snorkel,2,NA,0,215
2021-07-06,snorkel,2,NA,0,225
2021-07-06,snorkel,2,NA,0,235
2021-07-10,snorkel,1,NA,1.8,5
2021-07-10,snorkel,1,NA,1.8,10
2021-07-10,snorkel,1,NA,1.8,15
2021-07-10,snorkel,1,NA,1.8,20
2021-07-10,snorkel,1,NA,1.8,25
2021-07-10,snorkel,1,NA,1.8,30
2021-07-10,snorkel,1,NA,1.8,35
2021-07-10,snorkel,1,NA,1.8,40
2021-07-10,snorkel,1,NA,1.8,45
2021-07-10,snorkel,1,NA,1.8,50
2021-07-10,snorkel,1,NA,1.8,55
2021-07-10,snorkel,1,NA,1.8,60
2021-07-10,snorkel,2,NA,1.8,5
2021-07-10,snorkel,2,NA,1.8,10
2021-07-10,snorkel,2,NA,1.8,15
2021-07-10,snorkel,2,NA,1.8,20
2021-07-10,snorkel,2,NA,1.8,25
2021-07-10,snorkel,2,NA,1.8,30
2021-07-10,snorkel,2,NA,1.8,35
2021-07-10,snorkel,2,NA,1.8,40
2021-07-10,snorkel,2,NA,1.8,45
2021-07-10,snorkel,2,NA,1.8,50
2021-07-10,snorkel,2,NA,1.8,55
2021-07-10,snorkel,2,NA,1.8,60
2021-07-10,snorkel,3,NA,1.8,5
2021-07-10,snorkel,3,NA,1.8,10
2021-07-10,snorkel,3,NA,1.8,15
2021-07-10,snorkel,3,NA,1.8,20
2021-07-10,snorkel,3,NA,1.8,25
2021-07-10,snorkel,3,NA,1.8,30
2021-07-10,snorkel,3,NA,1.8,35
2021-07-10,snorkel,3,NA,1.8,40
2021-07-10,snorkel,3,NA,1.8,45
2021-07-10,snorkel,3,NA,1.8,50
2021-07-10,snorkel,3,NA,1.8,55
2021-07-10,snorkel,3,NA,1.8,60
2021-07-10,snorkel,4,NA,1.8,5
2021-07-10,snorkel,4,NA,1.8,10
2021-07-10,snorkel,4,NA,1.8,15
2021-07-10,snorkel,4,NA,1.8,20
2021-07-10,snorkel,4,NA,1.8,25
2021-07-10,snorkel,4,NA,1.8,30
2021-07-10,snorkel,4,NA,1.8,35
2021-07-10,snorkel,4,NA,1.8,40
2021-07-10,snorkel,4,NA,1.8,45
2021-07-10,snorkel,4,NA,1.8,50
2021-07-10,snorkel,4,NA,1.8,55
2021-07-10,snorkel,4,NA,1.8,60
