Image ID,Image name,Annotation status,Points,KELP,MGSU,SUPG,BARK,HASH,OBSC,ALMA,CHCA,COCO,DESP,FUDI,MAACR,MAENR,MASP,NEFI,NELU,RAFI,SAMU,UBS,ULVA,ZOMA
2057661,T10D1_20210701.png,Confirmed,25,0.000,8.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,40.000,4.000
2057660,T10D2_20210701.png,Confirmed,25,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,8.000,0.000,0.000,68.000,4.000
2057659,T10D3_20210701.png,Confirmed,25,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,96.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2057658,T10D4_20210701.png,Confirmed,25,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,56.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,12.000
2057657,T10D5_20210701.png,Confirmed,25,0.000,20.000,0.000,8.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.000,0.000,32.000,0.000,0.000,0.000,0.000
2057663,T13D1_20210701.png,Confirmed,25,16.000,16.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,0.000,0.000
2057662,T13D2_20210701.png,Confirmed,25,0.000,12.000,0.000,40.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,28.000,0.000,8.000,0.000,0.000,0.000,0.000
2057670,T18D1_20210701.png,Confirmed,25,24.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000
2057669,T18D1-2_20210701.png,Confirmed,25,32.000,8.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,8.000,4.000,0.000,0.000,0.000
2057668,T18D2_20210701.png,Confirmed,25,0.000,72.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000
2057667,T33D1_20210701.png,Confirmed,25,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,0.000,0.000,0.000,0.000,0.000
2057666,T33D2_20210701.png,Confirmed,25,0.000,36.000,0.000,0.000,20.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,4.000,8.000,0.000
2057665,T33D2-2_20210701.png,Confirmed,25,0.000,0.000,0.000,0.000,92.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2057664,T33D3_20210701.png,Confirmed,25,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000
2057656,T7D1_20210701.png,Confirmed,25,64.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000
2057655,T7D1-2_20210701.png,Confirmed,25,0.000,24.000,0.000,0.000,0.000,12.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,12.000,0.000,24.000,0.000,0.000
2057654,T7D2_20210701.png,Confirmed,25,0.000,0.000,0.000,0.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,92.000,0.000,0.000,0.000,0.000,0.000,0.000
ALL IMAGES,,,,8.000,13.176,0.000,2.824,6.824,6.588,0.000,0.235,1.647,8.941,0.000,0.000,0.471,0.941,27.059,0.000,8.471,4.235,2.588,6.824,1.176
