Phylum,Order,Family,Genus species,Neushul,MB2021
Chlorophyta,Ulvales,Ulvaceae,Ulva spp.,X,X
,Bryopsidales,Bryopsidaceae,Bryopsis spp.,X,
Ochrophyta,Desmarestiales,Desmarestiaceae,Desmarestia herbacea,,X
,,,Desmarestia spp.,X,X
,Laminariales,Agaraceae,Agarum clathratum,X,
,,,Costaria costata,X,X
,,,Neoagarum fibriatum,,X
,,Alariaceae,Alaria marginata,X,
,,Laminariaceae,Cymathere triplicata,X,
,,,Laminariales spp.,X,X
,,,Nereocystis luetkeana,X,X
,Fucales,Fucaceae,Fucus distichus,,X
,,,Fucus sp.,X,
,,Sargassaceae,Sargassum muticum,,X
Rhodophyta,Bangiales,Bangiaceae,Porphyra spp.,X,
,,,Pyropia sp.,,X
,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia californica,,X
,,,Bonnemaisonia nootkana,X,
,Ceramiales,Delesseriaceae,Cryptopleura spp.,,X
,,,Myriogramme spp.,X,
,,,Nienburgia borealis,X,
,,,Polyneura latissima,X,
,,,Rhodoptilum plumosum,X,
,,Rhodomeiaceae,Osmundia spectabilis,X,
,,Wrangeliaceae,Griffithsia pacifica,X,
,,,Pleonosporium spp.,X,
,Gigartinales,Dumontiaceae,Constantinea rosa-marina,,X
,,,Constantinea subulifera,X,X
,,,Weeksia coccinea,,X
,,Endocladiaceae,Gloiopeltis furcata,X,
,,Furcellariaceae,Opuntiella californica,X,X
,,Gigartinaceae,Chondracanthus exasperatus,,X
,,,Gigartina spp.,X,
,,,Iridaea spp.,X,
,,,Mazzaella splendens,,X
,,Kallymeniaceae,Callophyllis heanophylla,,X
,,,Callophyllis spp.,X,X
,,,Salishia firma,X,
,,Phyllophoraceae,Stenogramma interruptum,X,
,,Solieriaceae,Agardhiella coulteri,X,
,,,Sarcodiotheca gaudichaudii,X,X
,Halymeniales,Halymeniaceae,Halymenia spp.,X,
,,,Prionitis sternbergii,,X
,Palmariales,Palmariaceae,Halosaccion glandiforme,X,
,Plocamiales,Plocamiaceae,Plocamium pacificum,X,
,,,Plocamium spp.,,X
,Rhodymeniales,Fryeellaceae,Fryeella gardneri,X,X
,,Faucheaceae,Gloiocladia spp.,X,
,,,Leptofauchea spp.,X,
,,Rhodomeniaceae,Botryocladia pseudodichotoma,X,
,,,Sparlingia pertussa,X,X
Tracheophyta,Alismatales,Zosteraceae,Zostera marina,X,X
